IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:9a6b:5eaa:643d:c06b:24f6:89b2,56,77,65,0
2606:4700:8398:1513:724f:20d4:db13:eed,51,91,66,0
2606:4700:9643:ad62:48db:845e:8600:3f62,55,74,66,0
2606:4700:91b0:d5a7:918d:3a49:1de6:7a7e,44,88,66,0
2606:4700:9646:2fe1:b563:10c:d9cd:1a43,56,75,66,0
2606:4700:9ae1:db97:7ad1:e3b:3d08:9615,41,94,66,0
2606:4700:9760:874c:d116:138f:a08a:94ef,54,80,66,0
2606:4700:8caa:da3a:1541:dc27:89f:d59d,47,86,66,0
2606:4700:9a93:690e:f186:7eac:ad9b:d06f,45,88,66,0
2606:4700:9642:2816:3e2b:dae2:4902:8171,55,80,66,0
2606:4700:99e9:146d:c24:b0c0:2a7c:ca5f,49,91,66,0
2606:4700:90d4:6d45:b90e:bd74:3f21:a68,36,88,66,0
2606:4700:91b2:b8e:c7bd:e8b8:e138:c7cc,56,75,66,0
2606:4700:90c7:a0ab:6895:b244:8114:eba6,44,91,66,0
2606:4700:9a66:1998:a082:c055:b94:6b34,49,88,66,0
2606:4700:90c1:1bd:b043:79be:965e:3aa,54,77,66,0
2606:4700:91b4:e114:7c3f:c57:616:51d5,45,90,66,0
2606:4700:91b3:e15f:f9f5:98b3:cab3:d68,50,83,66,0
2606:4700:9b03:dfa6:f311:2e0a:110a:b5a,47,93,66,0
2a06:98c1:3120:7ebe:c4c:9480:51f3:7b93,40,86,66,0
2606:4700:8ca8:dfbc:4b8b:3caa:2b83:7da2,49,108,66,0
2606:4700:90c3:d6f4:114d:4c0f:530:3c70,54,78,66,0
2606:4700:90c6:fb7a:5c25:bb49:c1d0:5aba,49,78,66,0
2606:4700:90cb:7f09:87ad:fcad:d6a8:7829,48,88,66,0
2606:4700:9ad7:1a48:c35a:7580:9dc0:a339,49,83,66,0
2606:4700:9adb:61d6:ca53:1334:3f1d:8794,42,101,66,0
2606:4700:90da:223a:5de9:8b20:2431:6cbc,43,110,66,0
2606:4700:8399:65ee:83cb:eb0b:b492:3720,40,104,66,0
2606:4700:9a62:c619:e877:a3e6:7a0b:ec7a,50,89,66,0
2606:4700:91b9:59a7:a621:8226:3fbf:a82f,54,83,67,0
2606:4700:9b04:a121:ecb6:f453:8e27:ff83,38,103,67,0
2606:4700:9a61:7ab1:348:c162:f2a9:21a5,49,84,67,0
2606:4700:8ca7:824f:c660:516c:a60b:fd5a,42,83,67,0
2606:4700:839b:c7e7:ba9a:e24:5963:5be6,49,88,67,0
2606:4700:90c8:3518:c0b1:7a81:3152:987d,57,83,67,0
2606:4700:9b08:b075:3ea5:c874:7869:91ed,41,101,67,0
2606:4700:9a65:a800:9e0d:b1ff:e3bc:deb2,51,88,67,0
2606:4700:9a98:d32f:1ee3:84f7:960b:62d3,50,88,67,0
2606:4700:9c64:7349:1759:c5f1:fa9:411c,52,81,67,0
2606:4700:976a:554:7f36:3e8e:c71d:9991,42,86,68,0
2606:4700:9b01:c686:1efe:c5ad:90b8:7b1f,48,85,68,0
2606:4700:9ad6:707c:dc10:2374:df44:3801,56,89,68,0
2606:4700:99eb:5a56:aef8:3e16:388f:123a,46,91,68,0
2606:4700:90c9:1f58:1c9b:7596:5f12:9e21,52,80,68,0
2606:4700:9ae0:fb3:ed6d:d34:1e76:5aef,45,91,68,0
2606:4700:9a9b:1e80:f298:a150:de1d:6ea6,55,87,68,0
2606:4700:90d8:a1b0:e2b2:e71c:8786:e814,50,88,68,0
2606:4700:9b0b:fcd3:1d58:6102:277b:901b,46,82,68,0
2606:4700:9640:22f1:cd2e:dfff:eeba:9b99,47,85,68,0
2606:4700:9ad4:404a:9018:f7a6:ccb6:eb5e,48,85,68,0
2606:4700:9a99:b2df:2c78:43eb:e269:b11f,46,85,68,0
2606:4700:9ad9:743e:5e28:4abe:a471:df4c,48,83,68,0
2606:4700:90c2:4d9:672:743e:f83a:24b8,47,84,68,0
2606:4700:9a92:18cb:9521:770b:a187:795e,56,85,68,0
2606:4700:9ad2:ab78:5eb4:3cfc:b2fe:444b,41,88,68,0
2606:4700:9a90:5be6:5d32:9f4b:232a:d64c,51,91,68,0
2606:4700:8ca1:e698:1d33:8d2f:7778:428b,39,93,68,0
2606:4700:9644:a5f8:f160:4a60:ad95:21b7,50,80,68,0
2606:4700:9c6b:35c8:6c69:e338:3158:ecac,42,108,69,0
2606:4700:964b:bc00:e8a9:bd43:1aa5:5897,46,85,69,0
2606:4700:9a95:e950:b539:da13:a6d0:5e9c,44,81,69,0
2606:4700:90d9:477:a001:3698:eca7:9e6e,39,104,69,0
2606:4700:57:b1e3:6fad:d7c7:479a:e227,51,91,69,0
2606:4700:90db:ac71:404:2bfb:335f:a330,50,93,69,0
2606:4700:9ad0:f901:d2e6:e67:6de9:317b,45,108,69,0
2606:4700:9ae4:a62e:fdf2:56ee:d215:a351,55,85,69,0
2606:4700:9762:7f46:d948:362c:d789:bd12,45,85,69,0
2606:4700:9c66:82f9:8a1f:4747:e4a2:9387,64,83,69,0
2606:4700:8390:c93e:2c56:be86:70e8:a5bc,49,88,69,0
2606:4700:9c6a:d3bd:944:a048:9251:5089,49,87,69,0
2606:4700:9b00:31b5:8a4e:a592:2020:aa3b,49,88,69,0
2606:4700:9648:5af4:c11f:15d3:25f2:912,42,93,70,0
2606:4700:9c62:cde9:9303:32b9:d9fb:8c9b,49,92,70,0
2a06:98c1:3121:df0f:e258:b278:34bb:218b,59,88,70,0
2606:4700:9b02:97fd:2e77:e359:dac0:d826,54,83,70,0
2606:4700:9c63:81bf:4961:8415:8544:1ec9,54,87,70,0
2606:4700:9a9a:b571:aa86:3a0e:6247:cfcc,55,87,70,0
2606:4700:8394:7afe:9a7c:f54d:d0ea:4297,47,99,70,0
2606:4700:9ada:4094:8ba0:7d27:857e:7c2d,47,93,70,0
2606:4700:8393:565f:af68:4af8:c713:7021,45,87,70,0
2606:4700:9c68:e9e:4179:b90a:2927:dc26,43,100,70,0
2606:4700:9b06:3451:309:5814:eac9:5fd7,46,91,71,0
2606:4700:9ad1:bfa3:b2c3:ceaa:4a33:b114,45,97,71,0
2606:4700:9ae5:5dde:b17b:4461:9ddc:7304,51,97,71,0
2606:4700:8392:20f1:fe0b:b9e3:8f57:2ce9,56,89,71,0
2606:4700:90c0:86d8:c58:4cd7:6232:a051,50,84,72,0
2606:4700:90d5:e040:5f9b:9334:ed56:f134,45,108,72,0
2606:4700:3032:8d36:81a5:70b8:c5d8:1c25,156,197,179,0
2606:4700:3035:f734:8d34:1fa6:1d83:8118,167,206,181,0
2606:4700:3031:9f0e:d05d:81ce:fcf9:9817,167,208,182,0
2606:4700:3030:823f:f8fb:b8b7:1ad7:e71b,167,207,183,0
2606:4700:3037:ebac:75c1:956b:a42c:82f9,169,205,183,0
2606:4700:3036:4d33:5bcf:268d:1b01:51b4,174,202,184,0
2606:4700:3034:c744:355d:e883:fbb0:430,171,199,184,0
2606:4700:3033:db96:2f6f:786c:c47d:c544,172,208,185,0
2606:4700:a9:ea8e:ddee:6808:ca3c:74c9,177,216,192,0
2a06:98c1:310a:634b:4fe6:c7f7:40c9:6899,218,233,223,0
2606:4700:4405:5196:db97:e0b:65e5:43a9,218,234,224,0
2606:4700:4402:db04:88d8:6468:7a2f:7381,210,237,224,0
2a06:98c1:3103:a35a:12be:4ca3:23ca:9365,213,232,224,0
2606:4700:a:608f:bc6d:9f03:2fce:351f,216,234,224,0
2606:4700:4409:b3a1:bf67:7e:2ba0:c2b4,218,236,225,0
2606:4700:4400:46b3:e0ad:ce89:5909:c722,215,236,225,0
2606:4700:3056:9032:d684:82c1:6674:802e,218,247,225,0
2803:f800:53:f1ff:b6bf:de6d:260d:e603,214,234,225,0
2606:4700:a1:bad4:a670:9b32:9f5c:5c49,216,253,225,0
2a06:98c1:3108:7011:87c5:893:d4c1:5190,216,252,226,0
2a06:98c1:3102:6caf:b5a7:6c84:872b:3b34,215,249,226,0
2a06:98c1:3105:3e08:358a:b95f:62ba:c994,211,244,226,0
2606:4700:a0:2fb1:4849:d6e6:3d93:895d,209,239,226,0
2803:f800:52:3a04:fabb:859d:54a6:57c9,200,255,227,0
2606:4700:85d2:d501:d5c7:4d8b:a3f1:eb6e,212,242,227,0
2606:4700:9aec:9337:ab89:c011:138e:3935,219,230,227,0
2a06:98c1:3100:e0ad:5454:f274:cc54:d055,216,244,227,0
2606:4700:310c:58e8:92d0:d3bd:2ad3:178b,217,246,227,0
2a06:98c1:3101:d992:1691:d3d2:41c8:8eba,212,242,228,0
2a06:98c1:3106:5f52:f64f:60eb:8ada:462f,221,244,228,0
2606:4700:8ddd:e2cf:729a:7f14:1ccc:bbad,217,240,228,0
2606:4700:4403:601e:2294:40b7:254f:d198,204,239,228,0
2606:4700:4401:bde2:ec62:db62:e86e:308c,220,240,229,0
2606:4700:b:2d39:f26c:1e6b:82be:c442,212,240,229,0
2803:f800:54:1025:c0bd:ec95:5455:b508,219,240,229,0
