IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.25.252.75,68,88,80,10
104.25.244.196,80,90,85,10
104.25.243.85,73,105,84,20
104.25.250.255,75,103,84,20
104.18.34.247,79,104,88,20
104.25.241.28,75,102,89,20
172.64.146.82,79,106,91,20
104.25.249.13,86,103,92,20
104.25.248.108,85,105,94,20
104.25.254.27,61,93,82,30
104.25.246.22,72,95,83,30
104.25.240.107,73,102,85,30
104.25.251.240,68,115,89,30
104.25.245.31,81,106,92,30
104.25.255.188,82,105,92,30
1.1.1.27,69,92,79,40
104.25.253.206,79,104,90,40
172.64.153.222,76,109,92,40
104.25.247.78,78,98,85,50
104.25.242.221,82,105,90,50
